ds,EBE,TOL,BEN,NMHC,TCH,CO,SO_2,PM10,O_3,NO_2,total
2015-12-03,1.6739459362893647,10.60224454317774,2.0640004897852324,0.19739211300509935,1.5515662174198834,0.8901041710050777,13.125,38.859375,9.583333333333334,88.88368055555556,167.43064235957127
2015-12-04,2.1827504900598247,12.080704393634011,2.478311023090981,0.21605034676724155,1.527048609544715,1.048090282206734,14.809027777777779,43.28559027777778,7.940104166666667,92.26041666666667,177.82809403419242
2015-12-05,1.6176463267119188,9.190550571455368,2.0191468212177,0.19112971136789944,1.5678682942239066,0.8247395836774053,12.2890625,35.697916666666664,10.997395833333334,76.68402777777777,151.07948408643196
2015-12-06,0.7201016900362447,4.341803086441129,1.1622643866687126,0.14027405817048721,1.4350037225152528,0.6174479213983027,9.872395833333334,23.778645833333332,15.854166666666666,55.078125,113.00022819856346
2015-12-07,0.49000496617684675,3.5279389843640345,0.9340029827075167,0.12019221323758493,1.3423276307534369,0.5348958393119069,9.524305555555555,24.21875,12.293402777777779,56.135416666666664,109.12123761655133
2015-12-08,0.5393477240115375,3.583110115816078,1.0582961376815563,0.1315438987979192,1.3879873464031824,0.5245659785707377,10.335069444444445,29.30815972222222,10.59982638888889,53.52430555555556,110.99221231239213
2015-12-09,0.7846106186533155,4.60132687563254,1.0799975229172214,0.1273152283596111,1.3386880085020074,0.5954861180184202,10.44704861111111,19.6484375,17.096354166666668,56.921875,112.64113964986089
2015-12-10,0.7578248984877035,4.799007938317363,1.070424111615423,0.12531498108416725,1.331605896871123,0.5985243128250457,10.48263888888889,21.403645833333332,14.441840277777779,61.060763888888886,116.0715910280897
2015-12-11,0.49706101590224233,3.6539558591986343,0.7722098277844784,0.1167708340083389,1.3134089717937132,0.4503472280404013,9.176215277777779,17.8984375,18.03298611111111,53.37152777777778,105.28292040339448
2015-12-12,0.2674851244849537,2.0199032627888736,0.5647569494580643,0.09810267870673824,1.2646093827243599,0.34105903639768553,7.890625,14.913194444444445,29.43923611111111,43.401041666666664,100.20001365678289
2015-12-13,0.42953869556021385,3.1029141793352744,1.0011284730419339,0.134858631018211,1.457399555984589,0.5248263968387619,9.019965277777779,23.95486111111111,14.583333333333334,57.44444444444444,111.65327009844565
2015-12-14,0.7508184586795756,4.15788687672466,1.0875248021265078,0.1367745536295438,1.5644990052318288,0.4917534781594036,8.776909722222221,32.302083333333336,15.28125,59.859375,124.40887523010707
2015-12-15,1.2787822464024574,6.416567457381577,1.465823407802317,0.15324528691601855,1.6861383847685323,0.6562500033372393,10.366319444444445,47.86284722222222,12.694444444444445,69.75954861111111,152.33996650883034
2015-12-16,0.961867558712598,6.252529766647116,1.3886284681022287,0.15350818395173904,1.413768604501254,0.7355902836037179,12.38107638888889,46.50868055555556,8.350694444444445,67.84027777777777,145.98662203218532
2015-12-17,2.225582847157346,7.406274813006537,1.5442832391108534,0.2009970228532366,1.4989967783913016,0.8521701437550493,13.493055555555555,54.763020833333336,8.1640625,78.32899305555556,168.47743678871876
2015-12-18,1.658568941315429,8.210689460946476,1.743725195963172,0.18897941545952876,1.4675930099680075,0.7746527803440889,13.33767361111111,53.00086805555556,8.528645833333334,78.39236111111111,167.30375741510784
2015-12-19,1.1248759942864703,6.639955347300404,1.7023561466115689,0.1571428579609057,1.4890525698040922,0.7557291712404953,12.908854166666666,47.64149305555556,10.11892361111111,73.30729166666667,155.84567458720394
